City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
87,port elizabeth,ZA,2/25/2022 4:16,-33.918,25.5701,74.1,88,0,13.8,clear sky,0,0
88,barrow,US,2/25/2022 4:16,71.2906,-156.7887,-7.58,71,0,19.57,haze,0,0
89,victoria,HK,2/25/2022 4:16,22.2855,114.1577,64.94,72,36,8.01,scattered clouds,0,0
90,te anau,NZ,2/25/2022 4:16,-45.4167,167.7167,72.81,31,1,3,clear sky,0,0
91,komsomolskiy,UZ,2/25/2022 4:16,40.4272,71.7189,48.92,53,75,2.3,broken clouds,0,0
92,makakilo city,US,2/25/2022 4:16,21.3469,-158.0858,77.32,59,0,11.5,clear sky,0,0
93,sena madureira,BR,2/25/2022 4:16,-9.0656,-68.6569,72.91,97,100,2.57,overcast clouds,0,0
94,qingdao,CN,2/25/2022 4:15,36.0986,120.3719,55,35,0,11.18,clear sky,0,0
95,topeka,US,2/25/2022 4:14,39.0483,-95.678,14.9,80,0,11.5,clear sky,0,0
96,shimoda,JP,2/25/2022 4:16,34.6667,138.95,50.36,54,69,3.09,broken clouds,0,0
97,maceio,BR,2/25/2022 4:16,-9.6658,-35.7353,76.44,83,20,4.61,few clouds,0,0
98,puerto del rosario,ES,2/25/2022 4:16,28.5004,-13.8627,62.28,82,7,9.22,clear sky,0,0
99,cape town,ZA,2/25/2022 4:16,-33.9258,18.4232,68.11,86,0,12.66,clear sky,0,0
100,hilo,US,2/25/2022 4:16,19.7297,-155.09,77.52,72,40,4.61,scattered clouds,0,0
101,kyzyl-suu,KG,2/25/2022 4:16,42.3414,78.0056,32.77,70,100,1.12,overcast clouds,0,0
102,namtsy,RU,2/25/2022 4:16,62.7161,129.6658,-0.29,88,100,7.9,overcast clouds,0,0
103,bambous virieux,MU,2/25/2022 4:16,-20.3428,57.7575,82.22,94,40,4.61,scattered clouds,0,0
104,miraflores,MX,2/25/2022 4:16,19.2167,-98.8083,67.03,35,0,2.93,clear sky,0,0
105,madang,PG,2/25/2022 4:16,-5.2246,145.7966,85.08,74,88,9.24,overcast clouds,0,0
106,pevek,RU,2/25/2022 4:12,69.7008,170.3133,-6.14,92,100,0.96,overcast clouds,0,0
107,severo-yeniseyskiy,RU,2/25/2022 4:16,60.3725,93.0408,20.35,92,100,7.61,light snow,0,0
108,koslan,RU,2/25/2022 4:16,63.4564,48.8989,22.1,91,100,11.61,overcast clouds,0,0
109,palmer,US,2/25/2022 4:16,42.1584,-72.3287,29.03,48,100,0,overcast clouds,0,0
110,kruisfontein,ZA,2/25/2022 4:16,-34.0033,24.7314,71.89,97,60,4.74,broken clouds,0,0
111,pskov,RU,2/25/2022 4:16,57.8136,28.3496,31.91,80,0,11.18,clear sky,0,0
112,mrakovo,RU,2/25/2022 4:16,52.7161,56.6244,26.44,95,99,2.26,overcast clouds,0,0
113,zhezkazgan,KZ,2/25/2022 4:16,47.8043,67.7144,17.58,93,20,6.71,few clouds,0,0
114,meulaboh,ID,2/25/2022 4:16,4.1363,96.1285,84.7,63,58,0.81,broken clouds,0,0
115,fortuna,US,2/25/2022 4:17,40.5982,-124.1573,40.48,86,0,0,clear sky,0,0
116,honningsvag,NO,2/25/2022 4:17,70.9821,25.9704,27.93,71,100,23.87,overcast clouds,0,0
117,port macquarie,AU,2/25/2022 4:17,-31.4333,152.9167,78.89,86,98,11.56,overcast clouds,0,0
118,saint-augustin,CA,2/25/2022 4:17,51.226,-58.6502,-9.17,80,28,10.51,scattered clouds,0,0
119,yenagoa,NG,2/25/2022 4:17,4.9247,6.2642,78.8,89,16,3.51,few clouds,0,0
120,saint-pierre,RE,2/25/2022 4:17,-21.3393,55.4781,82.08,74,0,4.61,clear sky,0,0
121,bengkulu,ID,2/25/2022 4:17,-3.8004,102.2655,84.24,64,92,5.7,overcast clouds,0,0
122,uyuni,BO,2/25/2022 4:17,-20.4597,-66.825,53.11,65,100,12.77,overcast clouds,0,0
123,izumo,JP,2/25/2022 4:17,35.3667,132.7667,51.75,49,75,16.11,broken clouds,0,0
124,acari,PE,2/25/2022 4:17,-15.4311,-74.6158,73.45,83,97,4.27,overcast clouds,0,0
125,coahuayana,MX,2/25/2022 4:17,18.7333,-103.6833,70.9,92,5,2.86,clear sky,0,0
126,praia,CV,2/25/2022 4:15,14.9215,-23.5087,68.34,79,9,14.99,clear sky,0,0
127,srednekolymsk,RU,2/25/2022 4:17,67.45,153.6833,-8.7,89,100,6.08,overcast clouds,0,0
128,tuktoyaktuk,CA,2/25/2022 4:17,69.4541,-133.0374,-18.4,76,20,9.22,few clouds,0,0
129,middletown,US,2/25/2022 4:16,39.5151,-84.3983,36.52,95,100,8.05,moderate rain,0,0
130,kapaa,US,2/25/2022 4:17,22.0752,-159.319,78.78,72,20,12.66,few clouds,0,0
131,keti bandar,PK,2/25/2022 4:17,24.1447,67.4497,75.4,52,0,9.4,clear sky,0,0
132,bathsheba,BB,2/25/2022 4:17,13.2167,-59.5167,77.61,83,40,9.22,scattered clouds,0,0
133,richards bay,ZA,2/25/2022 4:17,-28.783,32.0377,69.84,87,22,6.44,few clouds,0,0
134,zaysan,KZ,2/25/2022 4:17,47.4667,84.8667,16.81,85,77,2.46,broken clouds,0,0
135,los algarrobos,PA,2/25/2022 4:17,8.5,-82.4333,69.76,71,23,6.08,few clouds,0,0
136,igarka,RU,2/25/2022 4:17,67.4667,86.5833,11.17,95,100,10.4,light snow,0,0
137,leku,ET,2/25/2022 4:17,6.8667,38.45,58.89,73,96,3.51,overcast clouds,0,0
138,dikson,RU,2/25/2022 4:17,73.5069,80.5464,2.71,94,100,10.63,overcast clouds,0,0
139,sohag,EG,2/25/2022 4:17,26.557,31.6948,51.4,76,0,4.94,clear sky,0,0
140,huanuni,BO,2/25/2022 4:17,-18.2667,-66.85,43.54,79,100,11.03,overcast clouds,0,0
141,bend,US,2/25/2022 4:12,44.0582,-121.3153,26.58,86,100,3.44,overcast clouds,0,0
142,east london,ZA,2/25/2022 4:17,-33.0153,27.9116,72.54,88,0,10.36,clear sky,0,0
143,hervey bay,AU,2/25/2022 4:17,-25.2986,152.8535,73.51,85,93,12.53,moderate rain,0,0
144,chuy,UY,2/25/2022 4:17,-33.6971,-53.4616,70.84,87,100,7.2,overcast clouds,0,0
145,boguchany,RU,2/25/2022 4:17,58.3814,97.4531,20.12,94,100,7.72,light snow,0,0
146,magadan,RU,2/25/2022 4:17,59.5667,150.8,13.53,88,100,7.18,light snow,0,0
147,aranos,NA,2/25/2022 4:17,-24.1333,19.1167,71.35,20,17,9.42,few clouds,0,0
148,chokurdakh,RU,2/25/2022 4:17,70.6333,147.9167,-3.78,91,100,13.91,overcast clouds,0,0
149,pitelino,RU,2/25/2022 4:17,54.5777,41.8145,18.48,96,49,6.11,scattered clouds,0,0
150,valparaiso,CL,2/25/2022 4:17,-33.0393,-71.6273,64.04,63,0,1.14,clear sky,0,0
